filepath,#deletions_histogram,#deletions_myers
butterknife-compiler/src/test/java/butterknife/UnbinderTest.java,2609,2572
butterknife-compiler/src/test/java/butterknife/BindViewTest.java,1833,1804
butterknife-compiler/src/main/java/butterknife/compiler/BindingClass.java,1210,1193
butterknife-compiler/src/test/java/butterknife/OnClickTest.java,984,976
butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java,875,844
butterknife-compiler/src/test/java/butterknife/OnItemClickTest.java,594,590
butterknife-compiler/src/test/java/butterknife/BindViewsTest.java,652,639
butterknife/src/main/java/butterknife/internal/ButterKnifeProcessor.java,324,325
butterknife-compiler/src/test/java/butterknife/BindTest.java,382,384
butterknife-compiler/src/test/java/butterknife/OnItemSelectedTest.java,458,453
butterknife/src/main/java/butterknife/Views.java,436,431
butterknife-compiler/src/test/java/butterknife/BindArrayTest.java,381,361
butterknife/src/main/java/butterknife/internal/InjectViewProcessor.java,310,306
butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java,267,263
butterknife-compiler/src/test/java/butterknife/BindDrawableTest.java,227,226
butterknife-compiler/src/test/java/butterknife/BindColorTest.java,222,221
butterknife-compiler/src/main/java/butterknife/internal/BindingClass.java,233,229
butterknife-compiler/src/test/java/butterknife/BindDimenTest.java,189,188
butterknife-compiler/src/test/java/butterknife/RClassTest.java,203,202
butterknife/src/main/java/butterknife/internal/TargetClass.java,134,137
butterknife-compiler/src/test/java/butterknife/BindStringTest.java,149,141
butterknife/src/main/java/butterknife/internal/Utils.java,96,95
butterknife-compiler/src/test/java/butterknife/OnTextChangedTest.java,127,126
butterknife/src/test/java/butterknife/BindViewsTest.java,40,26
butterknife-compiler/src/test/java/butterknife/OnTouchTest.java,122,120
butterknife-compiler/src/test/java/butterknife/OnPageChangeTest.java,120,118
butterknife-compiler/src/test/java/butterknife/OnLongClickTest.java,121,118
butterknife-compiler/src/test/java/butterknife/OnEditorActionTest.java,114,113
butterknife-compiler/src/test/java/butterknife/OnCheckedChangedTest.java,113,111
butterknife-compiler/src/test/java/butterknife/OnItemLongClickTest.java,113,111
butterknife-compiler/src/test/java/butterknife/OnFocusChangeTest.java,112,109
butterknife-compiler/src/test/java/butterknife/BindBitmapTest.java,107,106
butterknife-compiler/src/test/java/butterknife/BindBoolTest.java,105,104
butterknife-compiler/src/test/java/butterknife/BindIntTest.java,104,103
butterknife-compiler/src/main/java/butterknife/compiler/FieldResourceBinding.java,68,65
butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java,84,82
butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java,75,70
butterknife/src/main/java/butterknife/internal/ViewInjection.java,78,77
butterknife/src/test/java/butterknife/internal/AllTheThingsTest.java,58,55
butterknife-compiler/src/main/java/butterknife/compiler/FieldCollectionViewBinding.java,30,28
butterknife/src/main/java/butterknife/OnLongClick.java,28,27
butterknife-compiler/src/main/java/butterknife/compiler/ViewBindings.java,33,32
butterknife/src/main/java/butterknife/OnItemLongClick.java,32,30
butterknife/src/main/java/butterknife/internal/Listener.java,33,36
